Detroit Lions
win,opp,sc,opp_sc
L,San Diego Chargers,28,33
L,Minnesota Vikings,16,26
L,Denver Broncos,12,24
L,Seattle Seahawks,10,13
L,Arizona Cardinals,17,42
W,Chicago Bears,37,34
L,Minnesota Vikings,19,28
L,Kansas City Chiefs,10,45
W,Green Bay Packers,18,16
W,Oakland Raiders,18,13
W,Philadelphia Eagles,45,14
L,Green Bay Packers,23,27
L,St. Louis Rams,14,21
W,New Orleans Saints,35,27
W,San Francisco 49ers,32,17
W,Chicago Bears,24,20
