San Diego Chargers
win,opp,sc,opp_sc
W,Detroit Lions,33,28
L,Cincinnati Bengals,19,24
L,Minnesota Vikings,14,31
W,Cleveland Browns,30,27
L,Pittsburgh Steelers,20,24
L,Green Bay Packers,20,27
L,Oakland Raiders,29,37
L,Baltimore Ravens,26,29
L,Chicago Bears,19,22
L,Kansas City Chiefs,3,33
W,Jacksonville Jaguars,31,25
L,Denver Broncos,3,17
L,Kansas City Chiefs,3,10
W,Miami Dolphins,30,14
L,Oakland Raiders,20,23
L,Denver Broncos,20,27
