Oakland Raiders
win,opp,sc,opp_sc
L,Cincinnati Bengals,13,33
W,Baltimore Ravens,37,33
W,Cleveland Browns,27,20
L,Chicago Bears,20,22
L,Denver Broncos,10,16
W,San Diego Chargers,37,29
W,New York Jets,34,20
L,Pittsburgh Steelers,35,38
L,Minnesota Vikings,14,30
L,Detroit Lions,13,18
W,Tennessee Titans,24,21
L,Kansas City Chiefs,20,34
W,Denver Broncos,15,12
L,Green Bay Packers,20,30
W,San Diego Chargers,23,20
L,Kansas City Chiefs,17,23
