Kansas City Chiefs
win,opp,sc,opp_sc
W,Houston Texans,27,20
L,Denver Broncos,24,31
L,Green Bay Packers,28,38
L,Cincinnati Bengals,21,36
L,Chicago Bears,17,18
L,Minnesota Vikings,10,16
W,Pittsburgh Steelers,23,13
W,Detroit Lions,45,10
W,Denver Broncos,29,13
W,San Diego Chargers,33,3
W,Buffalo Bills,30,22
W,Oakland Raiders,34,20
W,San Diego Chargers,10,3
W,Baltimore Ravens,34,14
W,Cleveland Browns,17,13
W,Oakland Raiders,23,17
W,Houston Texans,30,0
L,New England Patriots,20,27
