Minnesota Vikings
win,opp,sc,opp_sc
L,San Francisco 49ers,3,20
W,Detroit Lions,26,16
W,San Diego Chargers,31,14
L,Denver Broncos,20,23
W,Kansas City Chiefs,16,10
W,Detroit Lions,28,19
W,Chicago Bears,23,20
W,St. Louis Rams,21,18
W,Oakland Raiders,30,14
L,Green Bay Packers,13,30
W,Atlanta Falcons,20,10
L,Seattle Seahawks,7,38
L,Arizona Cardinals,20,23
W,Chicago Bears,38,17
W,New York Giants,49,17
W,Green Bay Packers,20,13
L,Seattle Seahawks,9,10
